;Model;Max resolution
734;Panasonic Lumix DMC-LX1;3840.0
735;Panasonic Lumix DMC-LX2;4224.0
736;Panasonic Lumix DMC-LZ1;2304.0
737;Panasonic Lumix DMC-LZ2;2560.0
738;Panasonic Lumix DMC-LZ3;2560.0
739;Panasonic Lumix DMC-LZ5;2816.0
740;Panasonic Lumix DMC-LZ6;3072.0
741;Panasonic Lumix DMC-LZ7;3072.0
742;Panasonic Lumix DMC-TZ1;2560.0
743;Panasonic Lumix DMC-TZ2;2816.0
744;Panasonic Lumix DMC-TZ3;3072.0
745;Pentax EI-100;1280.0
746;Pentax EI-200;1600.0
747;Pentax EI-2000;1600.0
748;Pentax *ist D;3008.0
749;Pentax *ist DL;3008.0
750;Pentax *ist DL2;3008.0
751;Pentax *ist DS;3008.0
752;Pentax *ist DS2;3008.0
753;Pentax K100D;3008.0
754;Pentax K100D Super;3008.0
755;Pentax K10D;3872.0
756;Pentax K110D;3008.0
757;Pentax Optio 230;1600.0
758;Pentax Optio 30;2048.0
759;Pentax Optio 330;2048.0
760;Pentax Optio 330GS;2048.0
761;Pentax Optio 330RS;2048.0
762;Pentax Optio 33L;2048.0
763;Pentax Optio 33LF;2048.0
764;Pentax Optio 33WR;2048.0
765;Pentax Optio 430;2240.0
766;Pentax Optio 430RS;2240.0
767;Pentax Optio 43WR;2288.0
768;Pentax Optio 450;2288.0
769;Pentax Optio 50;2560.0
770;Pentax Optio 550;2592.0
771;Pentax Optio 555;2592.0
772;Pentax Optio 60;2848.0
773;Pentax Optio 750Z;3056.0
774;Pentax Optio A10;3264.0
775;Pentax Optio A20;3648.0
776;Pentax Optio A30;3648.0
777;Pentax Optio E10;2816.0
778;Pentax Optio E20;2816.0
779;Pentax Optio E30;3072.0
780;Pentax Optio E40;3264.0
781;Pentax Optio M10;2816.0
782;Pentax Optio M20;3072.0
783;Pentax Optio M30;3072.0
784;Pentax Optio M40;3264.0
785;Pentax Optio MX4;2304.0
786;Pentax Optio S;2048.0
787;Pentax Optio S10;3648.0
788;Pentax Optio S30;2048.0
789;Pentax Optio S4;2304.0
790;Pentax Optio S40;2304.0
791;Pentax Optio S45;2304.0
792;Pentax Optio S4i;2304.0
793;Pentax Optio S50;2560.0
794;Pentax Optio S55;2560.0
795;Pentax Optio S5i;2560.0
796;Pentax Optio S5n;2560.0
797;Pentax Optio S5z;2560.0
798;Pentax Optio S6;2816.0
799;Pentax Optio S60;2816.0
800;Pentax Optio S7;3072.0
801;Pentax Optio SV;2560.0
802;Pentax Optio SVi;2560.0
803;Pentax Optio T10;2816.0
804;Pentax Optio T20;3072.0
805;Pentax Optio T30;3072.0
806;Pentax Optio W10;2816.0
807;Pentax Optio W20;3072.0
808;Pentax Optio W30;3072.0
809;Pentax Optio WP;2560.0
810;Pentax Optio WPi;2816.0
811;Pentax Optio X;2560.0
812;Pentax Optio Z10;3264.0
813;Ricoh Caplio 500G;3264.0
814;Ricoh Caplio R1V;2560.0
815;Ricoh Caplio R2;2560.0
816;Ricoh Caplio R3;2560.0
817;Ricoh Caplio R30;2560.0
818;Ricoh Caplio R4;2816.0
819;Ricoh Caplio R40;2816.0
820;Ricoh Caplio R5;3072.0
821;Ricoh Caplio R6;3072.0
822;Ricoh Caplio R7;3264.0
823;Ricoh Caplio RR530;2560.0
824;Ricoh Caplio RR630;2816.0
825;Ricoh Caplio G3;2048.0
826;Ricoh GR Digital;3264.0
827;Ricoh Caplio GX100;3648.0
828;Ricoh Caplio GX8;3264.0
829;Ricoh RDC-200G;1792.0
830;Ricoh RDC-4300;1280.0
831;Ricoh RDC-5000;1792.0
832;Ricoh RDC-5300;1792.0
833;Ricoh RDC-6000;1600.0
834;Ricoh RDC-7;2048.0
835;Ricoh RDC-i500;2048.0
836;Ricoh RDC-i700;2048.0
837;Ricoh Caplio RR1;2272.0
838;Ricoh Caplio RX;2048.0
839;Samsung Digimax A50;2592.0
840;Samsung Digimax A502;2592.0
841;Samsung Digimax A55W;2592.0
842;Samsung Digimax 130;1280.0
843;Samsung Digimax 202;1600.0
844;Samsung Digimax 230;1600.0
845;Samsung Digimax 250;1600.0
846;Samsung Digimax 301;2048.0
847;Samsung Digimax 350SE;2048.0
848;Samsung Digimax 370;2048.0
849;Samsung Digimax 401;2048.0
850;Samsung Digimax 410;2272.0
851;Samsung Digimax 430;2272.0
852;Samsung Digimax 530;2592.0
853;Samsung Digimax V4;2272.0
854;Samsung GX-10;3872.0
855;Samsung GX-1L;3008.0
856;Samsung GX-1S;3008.0
857;Samsung Digimax i5;2595.0
858;Samsung Digimax i6;2816.0
859;Samsung i7;3072.0
860;Samsung i70;3072.0
861;Samsung i85;3264.0
862;Samsung L83T;3264.0
863;Samsung L700;3072.0
864;Samsung L73;3072.0
865;Samsung L730;3264.0
866;Samsung L74 Wide;3072.0
867;Samsung L77;3072.0
868;Samsung L830;3264.0
869;Samsung NV10;3648.0
870;Samsung NV11;3648.0
871;Samsung NV15;3648.0
872;Samsung NV20;4000.0
873;Samsung NV3;3072.0
874;Samsung NV7 OPS;3072.0
875;Samsung NV8;3264.0
876;Samsung Pro815;3264.0
877;Samsung S1030;3648.0
878;Samsung S1050;3648.0
879;Samsung S630;2816.0
880;Samsung S730;3072.0
881;Samsung S830;3264.0
882;Samsung S85;3264.0
883;Samsung S850;3264.0
884;Samsung Digimax U-CA 3;2048.0
885;Samsung Digimax U-CA 4;2272.0
886;Samsung Digimax U-CA 401;2272.0
887;Samsung Digimax V40;2272.0
888;Samsung Digimax V5;2592.0
889;Samsung Digimax V50;2592.0
890;Samsung Digimax V6;2816.0
891;Samsung Digimax V700;3072.0
892;Samsung Digimax V800;3264.0
893;Sanyo DSC-AZ1;2288.0
894;Sanyo DSC-J1;2048.0
895;Sanyo DSC-S1;2048.0
896;Sanyo Xacti DSC-S3;2048.0
897;Sanyo Xacti DSC-S4;2288.0
898;Sanyo DSC-MZ1;1600.0
899;Sanyo VPC-X350;1024.0
900;Sanyo VPC-Z400;1280.0
901;Sigma DP1;2640.0
902;Sigma SD10;2268.0
903;Sigma SD14;2640.0
904;Sigma SD9;2268.0
905;Sony Mavica FD-91;1024.0
906;Sony Mavica CD1000;1600.0
907;Sony Mavica CD200;1600.0
908;Sony Mavica CD250;1600.0
909;Sony Mavica CD300;2048.0
910;Sony Mavica CD350;2048.0
911;Sony Mavica CD400;2272.0
912;Sony Mavica CD500;2592.0
913;Sony DSC-D700;1344.0
914;Sony DSC-D770;1344.0
915;Sony DSC-F505;1600.0
916;Sony DSC-F505V;1856.0
917;Sony DSC-F55;1600.0
918;Sony DSC-F55V;1856.0
919;Sony DSC-F707;2560.0
920;Sony DSC-F717;2560.0
921;Sony DSC-F828;3264.0
922;Sony DSC-F88;2592.0
923;Sony DSC-G1;2816.0
924;Sony DSC-H1;2592.0
925;Sony DSC-H2;2816.0
926;Sony DSC-H3;3264.0
927;Sony DSC-H5;3072.0
928;Sony DSC-H7;3264.0
929;Sony DSC-H9;3264.0
930;Sony DSC-L1;2304.0
931;Sony DSC-M1;2592.0
932;Sony DSC-M2;2592.0
933;Sony DSC-N1;3264.0
934;Sony DSC-N2;3264.0
935;Sony DSC-P1;2048.0
936;Sony DSC-P10;2592.0
937;Sony DSC-P100;2592.0
938;Sony DSC-P150;3072.0
939;Sony DSC-P2;1600.0
940;Sony DSC-P20;1216.0
941;Sony DSC-P200;3072.0
942;Sony DSC-P3;1920.0
943;Sony DSC-P30;1280.0
944;Sony DSC-P31;1600.0
945;Sony DSC-P32;2048.0
946;Sony DSC-P41;2272.0
947;Sony DSC-P5;2048.0
948;Sony DSC-P50;1600.0
949;Sony DSC-P51;1600.0
950;Sony DSC-P52;2048.0
951;Sony DSC-P7;2048.0
952;Sony DSC-P71;2048.0
953;Sony DSC-P72;2048.0
954;Sony DSC-P73;2272.0
955;Sony DSC-P8;2048.0
956;Sony DSC-P9;2272.0
957;Sony DSC-P92;2592.0
958;Sony DSC-P93;2592.0
959;Sony DSC-R1;3888.0
960;Sony DSC-S30;1280.0
961;Sony DSC-S40;2304.0
962;Sony DSC-S50;1600.0
963;Sony DSC-S60;2304.0
964;Sony DSC-S600;2816.0
965;Sony DSC-S650;3072.0
966;Sony DSC-S70;2048.0
967;Sony DSC-S700;3072.0
968;Sony DSC-S75;2048.0
969;Sony DSC-S800;3264.0
970;Sony DSC-S85;2272.0
971;Sony DSC-S90;2304.0
972;Sony DSC-T1;2592.0
973;Sony DSC-T10;3072.0
974;Sony DSC-T100;3264.0
975;Sony DSC-T11;2592.0
976;Sony DSC-T20;3264.0
977;Sony DSC-T200;3264.0
978;Sony DSC-T3;2592.0
979;Sony DSC-T30;3072.0
980;Sony DSC-T33;2592.0
981;Sony DSC-T5;2592.0
982;Sony DSC-T50;3072.0
983;Sony DSC-T7;2592.0
984;Sony DSC-T9;2816.0
985;Sony DSC-U10;1280.0
986;Sony DSC-U20;1632.0
987;Sony DSC-U30;1632.0
988;Sony DSC-U40;1632.0
989;Sony DSC-U50;1632.0
990;Sony DSC-U60;1632.0
991;Sony DSC-V1;2592.0
992;Sony DSC-V3;3072.0
993;Sony DSC-W1;2592.0
994;Sony DSC-W100;3264.0
995;Sony DSC-W200;4000.0
996;Sony DSC-W30;2816.0
997;Sony DSC-W35;3072.0
998;Sony DSC-W5;2592.0
999;Sony DSC-W50;2816.0
1000;Sony DSC-W55;3072.0
1001;Sony DSC-W7;3072.0
1002;Sony DSC-W70;3072.0
1003;Sony DSC-W80;3072.0
1004;Sony DSC-W90;3254.0
1005;Sony DSLR-A100;3872.0
1006;Sony DSLR-A700;4272.0
1007;Sony Mavica FD-100;1280.0
1008;Sony Mavica FD-200;1600.0
1009;Sony Mavica FD-71;640.0
1010;Sony Mavica FD-73;640.0
1011;Sony Mavica FD-75;640.0
1012;Sony Mavica FD-81;1024.0
1013;Sony Mavica FD-83;1024.0
1014;Sony Mavica FD-85;1280.0
1015;Sony Mavica FD-87;1280.0
1016;Sony Mavica FD-88;1280.0
1017;Sony Mavica FD-90;1280.0
1018;Sony Mavica FD-92;1472.0
1019;Sony Mavica FD-95;1600.0
1020;Sony Mavica FD-97;1600.0
1021;Toshiba PDR-3310;2048.0
1022;Toshiba PDR-3330;2048.0
1023;Toshiba PDR-4300;2400.0
1024;Toshiba PDR-5300;2560.0
1025;Toshiba PDR-M1;1280.0
1026;Toshiba PDR-M11;1280.0
1027;Toshiba PDR-M21;1600.0
1028;Toshiba PDR-M25;1729.0
1029;Toshiba PDR-M3;1280.0
1030;Toshiba PDR-M4;1600.0
1031;Toshiba PDR-M5;1600.0
1032;Toshiba PDR-M60;1792.0
1033;Toshiba PDR-M61;1792.0
1034;Toshiba PDR-M65;2048.0
1035;Toshiba PDR-M70;2048.0
1036;Toshiba PDR-M71;2048.0
1037;Toshiba PDR-M81;2400.0
1038;Toshiba PDR-T10;1600.0
